time, lone, latg, alti, altia, vimag, vrmag, loneip, latgip, tgo, path, azih, pati, alph, beta, thep, psip, eu_r1, eu_r2, eu_i1, eu_i2, inc, ha, hp, aorb, ta, mach, dp, thru, drag, ab, massLV, drng, drngi, delv0, delv1, delv2, delv3, delv4, plon, diip0, diip1, diip2, diip3
    2.1000000,  127.5363300,   34.4318197,    0.1431022,    0.1431022,    0.3836510,    0.0047468,  127.5363302,   34.4318154,    5.9184274,   89.5982080, -176.2176902,    0.7089101,    0.3914883,    0.0885592,   90.0000000,    0.0000000,   89.9927633,  -89.9950391,   90.0000000,    0.0000000,   34.4318200,    0.1442548,-6370.6180509, 3192.9001019,  179.9983266,    0.0139719,    0.0136125,  652.7506130,    0.0150242,    1.2333551,53967.1089262,    0.0000950,    0.0005118,    0.0251203,    0.0000000,    0.0001262,    0.0035092,    0.0287832,   37.5363304,    0.0011991,    0.3479815,   -0.0000015,   -0.0000002
    2.2000000,  127.5363300,   34.4318197,    0.1435885,    0.1435885,    0.3836537,    0.0049792,  127.5363302,   34.4318153,    5.9535165,   89.5986309, -176.0363176,    0.7436026,    0.3908333,    0.0893510,   90.0000000,    0.0000000,   89.9924187,  -89.9948029,   90.0000000,    0.0000000,   34.4318200,    0.1448566,-6370.6180570, 3192.9003998,  179.9982447,    0.0146558,    0.0149769,  652.7558525,    0.0165331,    1.2339437,53941.6726846,    0.0001344,    0.0005376,    0.0263150,    0.0000000,    0.0001386,    0.0036771,    0.0301609,   37.5363304,    0.0012191,    0.3537997,   -0.0000016,   -0.0000002
    2.3000000,  127.5363300,   34.4318196,    0.1440981,    0.1440981,    0.3836566,    0.0052121,  127.5363301,   34.4318151,    5.9891869,   89.5990492, -175.8548564,    0.7783810,    0.3901793,    0.0901410,   90.0000000,    0.0000000,   89.9920740,  -89.9945667,   90.0000000,    0.0000000,   34.4318200,    0.1454876,-6370.6180635, 3192.9007120,  179.9981626,    0.0153414,    0.0164100,  652.7613425,    0.0181185,    1.2345332,53916.2364430,    0.0000000,    0.0005542,    0.0275095,    0.0000000,    0.0001516,    0.0038451,    0.0315393,   37.5363305,    0.0012391,    0.3596042,   -0.0000016,   -0.0000002
    2.4000000,  127.5363300,   34.4318196,    0.1446309,    0.1446309,    0.3836597,    0.0054455,  127.5363301,   34.4318150,    6.0254369,   89.5994630, -175.6733104,    0.8132452,    0.3895263,    0.0909291,   90.0000000,    0.0000000,   89.9917294,  -89.9943304,   90.0000000,    0.0000000,   34.4318200,    0.1461477,-6370.6180702, 3192.9010388,  179.9980802,    0.0160287,    0.0179122,  652.7670833,    0.0197808,    1.2351236,53890.8002013,    0.0000950,    0.0005702,    0.0287038,    0.0000000,    0.0001652,    0.0040131,    0.0329183,   37.5363305,    0.0012590,    0.3653936,   -0.0000016,   -0.0000002
    2.5000000,  127.5363300,   34.4318196,    0.1451872,    0.1451872,    0.3836629,    0.0056796,  127.5363301,   34.4318148,    6.0622650,   89.5998723, -175.4916829,    0.8481955,    0.3888743,    0.0917154,   90.0000000,    0.0000000,   89.9913848,  -89.9940942,   90.0000000,    0.0000000,   34.4318200,    0.1468371,-6370.6180772, 3192.9013800,  179.9979977,    0.0167177,    0.0194840,  652.7730757,    0.0215206,    1.2357149,53865.3639597,    0.0000950,    0.0005859,    0.0298980,    0.0000000,    0.0001794,    0.0041812,    0.0342980,   37.5363306,    0.0012789,    0.3711668,   -0.0000017,   -0.0000002
    2.6000000,  127.5363300,   34.4318195,    0.1457668,    0.1457668,    0.3836662,    0.0059142,  127.5363301,   34.4318146,    6.0996696,   89.6002769, -175.3099776,    0.8832318,    0.3882234,    0.0924999,   90.0000000,    0.0000000,   89.9910402,  -89.9938580,   90.0000000,    0.0000000,   34.4318200,    0.1475560,-6370.6180845, 3192.9017357,  179.9979150,    0.0174085,    0.0211260,  652.7793203,    0.0233385,    1.2363071,53839.9277181,    0.0000950,    0.0006011,    0.0310920,    0.0000000,    0.0001942,    0.0043494,    0.0356783,   37.5363307,    0.0012988,    0.3769224,   -0.0000017,   -0.0000002
    2.7000000,  127.5363300,   34.4318195,    0.1463700,    0.1463700,    0.3836697,    0.0061495,  127.5363301,   34.4318145,    6.1376489,   89.6006771, -175.1281979,    0.9183544,    0.3875735,    0.0932825,   90.0000000,    0.0000000,   89.9906956,  -89.9936217,   90.0000000,    0.0000000,   34.4318200,    0.1483043,-6370.6180921, 3192.9021061,  179.9978321,    0.0181010,    0.0228385,  652.7858175,    0.0252352,    1.2369002,53814.4914765,    0.0001344,    0.0006304,    0.0322859,    0.0000000,    0.0002096,    0.0045177,    0.0370593,   37.5363308,    0.0013185,    0.3826592,   -0.0000017,   -0.0000002
    2.8000000,  127.5363300,   34.4318194,    0.1469967,    0.1469967,    0.3836733,    0.0063853,  127.5363300,   34.4318143,    6.1762008,   89.6010727, -174.9463474,    0.9535632,    0.3869246,    0.0940633,   90.0000000,    0.0000000,   89.9903510,  -89.9933855,   90.0000000,    0.0000000,   34.4318200,    0.1490822,-6370.6181000, 3192.9024911,  179.9977490,    0.0187952,    0.0246221,  652.7925680,    0.0272110,    1.2374942,53789.0552349,    0.0000950,    0.0006446,    0.0334796,    0.0000000,    0.0002256,    0.0046860,    0.0384409,   37.5363309,    0.0013382,    0.3883761,   -0.0000018,   -0.0000002
    2.9000000,  127.5363300,   34.4318194,    0.1476470,    0.1476470,    0.3836770,    0.0066217,  127.5363300,   34.4318141,    6.2153234,   89.6014639, -174.7644297,    0.9888585,    0.3862767,    0.0948423,   90.0000000,    0.0000000,   89.9900064,  -89.9931493,   90.0000000,    0.0000000,   34.4318200,    0.1498898,-6370.6181081, 3192.9028908,  179.9976656,    0.0194912,    0.0264772,  652.7995724,    0.0292668,    1.2380890,53763.6189933,    0.0001344,    0.0006585,    0.0346731,    0.0000000,    0.0002422,    0.0048543,    0.0398232,   37.5363309,    0.0013578,    0.3940718,   -0.0000018,   -0.0000002
    3.0000000,  127.5363300,   34.4318194,    0.1483210,    0.1483210,    0.3836809,    0.0068586,  127.5363300,   34.4318139,    6.2550145,   89.6018505, -174.5824483,    1.0242403,    0.3856298,    0.0956195,   90.0000000,    0.0000000,   89.9896618,  -89.9929131,   90.0000000,    0.0000000,   34.4318200,    0.1507272,-6370.6181166, 3192.9033053,  179.9975821,    0.0201889,    0.0284044,  652.8068312,    0.0314029,    1.2386848,53738.1827517,    0.0001344,    0.0006854,    0.0358665,    0.0000000,    0.0002594,    0.0050228,    0.0412062,   37.5363311,    0.0013774,    0.3997454,   -0.0000018,   -0.0000003
